
 TIME,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
 250,99922,99183,99123,99134,99112,99072,99124,99300,99251,99103,99094,99170,99194,99074,99072,99115,99183,99006,99012,99043,99118,99027,98987,99191,99172,98992,99053,99158,99110,99042,99135,98957
 255,99922,99183,99123,99134,99112,99072,99124,99292,99251,99103,99084,99170,99194,99047,99052,99100,99183,99006,99012,99043,99118,99027,98987,99191,99172,98987,99041,99158,99110,99032,99135,98947
 260,99922,99183,99123,99134,99112,99072,99124,99284,99251,99103,99084,99170,99194,99020,99032,99085,99183,99006,99012,99043,99118,99027,98987,99191,99172,98982,99041,99158,99110,99032,99135,98947
 265,99922,99183,99123,99134,99112,99072,99124,99276,99251,99103,99084,99170,99194,99014,99012,99070,99183,99006,99012,99043,99118,99027,98987,99191,99172,98977,99041,99158,99110,99032,99135,98947
 270,99922,99183,99123,99134,99112,99072,99124,99268,99251,99103,99084,99170,99194,99014,98992,99055,99183,99006,99012,99043,99118,99027,98987,99191,99172,98972,99041,99158,99110,99032,99135,98947
 275,99922,99183,99123,99134,99110,99072,99124,99260,99251,99103,99084,99170,99194,99014,98986,99040,99183,99006,99012,99043,99118,99027,98987,99191,99172,98967,99041,99158,99096,99032,99135,98947
 280,99922,99183,99123,99134,99083,99072,99124,99252,99251,99103,99084,99170,99194,99014,98986,99025,99183,99006,99012,99043,99118,99027,98987,99191,99172,98962,99041,99158,99081,99032,99135,98947
 285,99922,99183,99123,99134,99044,99072,99124,99244,99247,99103,99084,99170,99183,99014,98986,99010,99183,99006,99012,99043,99100,99027,98987,99185,99165,98947,99041,99144,99066,99032,99135,98947
 290,99922,99183,99123,99134,99024,99072,99124,99236,99234,99103,99084,99170,99168,99014,98986,99002,99175,99006,99012,99043,99080,99027,98987,99177,99157,98932,99041,99117,99039,99032,99135,98947
 295,99922,99183,99123,99134,99004,99072,99124,99228,99221,99103,99084,99170,99153,99014,98986,98994,99167,99006,99012,99043,99060,99027,98987,99169,99149,98917,99041,99090,99012,99032,99135,98947
 300,99922,99183,99123,99134,98972,99072,99124,99220,99213,99103,99084,99170,99127,99014,98986,98986,99159,99006,99012,99043,99028,99027,98987,99161,99141,98902,99041,99063,98985,99032,99135,98947
 305,99904,99183,99123,99134,98956,99072,99124,99176,99144,99103,99084,99170,99094,98974,98966,98916,99061,98974,99012,99022,98980,98972,98987,99061,99093,98866,99041,99028,98947,98979,99090,98897
 310,99904,99183,99123,99134,98956,99072,99124,99168,99125,99103,99084,99170,99079,98974,98958,98908,99043,98955,99012,99007,98980,98972,98987,99061,99085,98848,99041,99013,98947,98969,99073,98897
 315,99904,99183,99123,99134,98956,99072,99124,99160,99117,99103,99084,99170,99064,98974,98950,98900,99043,98951,99012,98992,98980,98972,98987,99061,99077,98848,99041,98998,98947,98969,99068,98897
 320,99904,99183,99123,99134,98956,99072,99124,99152,99109,99103,99084,99170,99049,98974,98942,98892,99043,98946,99012,98977,98980,98972,98987,99061,99069,98848,99041,98989,98947,98969,99063,98897
 325,99904,99183,99123,99134,98956,99072,99124,99144,99101,99103,99084,99170,99044,98974,98934,98884,99043,98941,99012,98972,98980,98972,98987,99061,99061,98848,99041,98989,98947,98969,99058,98897
 330,99904,99183,99123,99134,98956,99072,99124,99136,99088,99103,99084,99170,99039,98974,98926,98876,99043,98936,99012,98967,98980,98972,98987,99061,99053,98848,99041,98989,98947,98969,99053,98897
 335,99904,99183,99123,99134,98956,99072,99124,99128,99080,99103,99084,99170,99022,98974,98906,98861,99043,98919,99012,98950,98980,98972,98987,99061,99045,98848,99041,98989,98947,98969,99048,98897
 340,99904,99183,99123,99134,98956,99072,99124,99120,99080,99103,99084,99170,99005,98974,98900,98846,99043,98902,99012,98933,98980,98972,98987,99061,99037,98848,99041,98989,98947,98969,99043,98897
 345,99904,99168,99110,99134,98956,99057,99111,99112,99080,99101,99084,99144,98969,98974,98900,98831,99043,98885,99001,98895,98980,98972,98983,99061,99029,98848,99041,98989,98947,98969,99026,98897
 350,99904,99155,99090,99131,98956,99025,99084,99104,99080,99083,99084,99115,98969,98974,98900,98816,99043,98865,98981,98895,98980,98972,98956,99061,99021,98848,99041,98989,98947,98969,98999,98897
 355,99904,99136,99070,99111,98956,98981,99046,99096,99080,99070,99081,99107,98969,98974,98900,98801,99043,98857,98973,98895,98980,98972,98929,99061,99013,98848,99034,98989,98947,98969,98977,98897
 360,99904,99123,99038,99086,98956,98949,99020,99088,99080,99062,99073,99099,98969,98974,98900,98786,99043,98849,98965,98895,98980,98972,98902,99061,99005,98848,99026,98989,98947,98969,98977,98897
 365,99892,99061,98990,99005,98905,98927,98997,99064,99080,98991,99011,99039,98959,98924,98872,98758,99043,98835,98912,98895,98980,98914,98859,99061,98979,98797,98979,98989,98884,98909,98971,98897
 370,99892,99061,98990,99005,98890,98927,98982,99056,99080,98976,98991,99039,98959,98916,98872,98758,99043,98835,98885,98895,98980,98914,98854,99061,98971,98797,98964,98989,98879,98909,98971,98897
 375,99892,99061,98990,99005,98890,98927,98967,99048,99080,98961,98971,99039,98959,98908,98872,98758,99043,98835,98861,98895,98980,98914,98849,99061,98963,98797,98949,98989,98879,98909,98971,98897
 380,99892,99061,98990,99005,98890,98927,98953,99040,99080,98946,98951,99039,98959,98900,98872,98758,99043,98835,98861,98895,98980,98914,98844,99061,98955,98797,98934,98989,98879,98909,98971,98897
 385,99892,99061,98990,99005,98890,98927,98953,99032,99080,98935,98931,99039,98959,98892,98872,98758,99043,98835,98861,98895,98980,98914,98839,99061,98947,98797,98919,98989,98879,98909,98971,98897
 390,99892,99061,98990,99005,98890,98927,98953,99024,99080,98935,98923,99039,98959,98884,98872,98758,99043,98835,98861,98895,98980,98914,98834,99061,98939,98797,98904,98989,98879,98909,98971,98897
 395,99892,99061,98990,99005,98890,98927,98953,99016,99080,98935,98915,99039,98959,98876,98872,98758,99043,98835,98861,98895,98980,98914,98829,99061,98931,98797,98889,98989,98879,98909,98971,98897
 400,99892,99061,98990,99005,98890,98927,98953,99008,99080,98935,98907,99039,98959,98868,98872,98758,99043,98835,98861,98895,98980,98914,98824,99061,98923,98797,98874,98989,98879,98909,98971,98897
 405,99892,99061,98990,99005,98890,98927,98953,99000,99080,98935,98899,99039,98959,98860,98872,98758,99043,98835,98861,98895,98980,98914,98816,99055,98915,98797,98859,98989,98879,98909,98971,98894
 410,99892,99061,98990,99005,98890,98927,98953,98992,99080,98935,98891,99039,98959,98852,98872,98758,99043,98835,98861,98895,98980,98914,98808,99042,98895,98797,98832,98989,98879,98909,98971,98879
 415,99892,99061,98990,99005,98890,98927,98953,98984,99080,98935,98883,99039,98959,98834,98872,98758,99043,98835,98861,98895,98965,98914,98800,99034,98875,98797,98826,98989,98879,98909,98971,98864
 420,99892,99061,98990,99005,98890,98927,98953,98976,99080,98935,98875,99039,98959,98822,98872,98758,99031,98835,98861,98895,98950,98914,98792,99021,98855,98797,98826,98988,98879,98909,98971,98849
 425,99886,99036,98929,98946,98852,98927,98953,98942,99049,98921,98863,99008,98959,98822,98872,98719,98985,98835,98834,98816,98877,98914,98734,98935,98849,98797,98806,98932,98829,98909,98927,98784
